group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.8681,0.9021,0.9362,0.9319
split,test,38,0.9211,0.9474,0.9474,0.9474
split,train,152,0.8421,0.8816,0.9211,0.9145
split,val,45,0.9111,0.9333,0.9778,0.9778
site,MAS,15,0.9333,1.0,1.0,1.0
site,SHB,132,0.8636,0.9167,0.9394,0.9394
site,SHW,38,1.0,1.0,1.0,1.0
site,TON,50,0.76,0.76,0.86,0.84
