group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.9191,0.966,0.9787,0.9787
split,test,38,0.9474,0.9737,0.9737,0.9737
split,train,152,0.9145,0.9803,0.9803,0.9803
split,val,45,0.9111,0.9111,0.9778,0.9778
site,MAS,15,0.8667,0.9333,1.0,1.0
site,SHB,132,0.9545,0.9848,0.9848,0.9848
site,SHW,38,0.9737,1.0,1.0,1.0
site,TON,50,0.8,0.9,0.94,0.94
