name,key,site,event_id,src_frame,score
TON__NatureTrail_v1_LS_f17256.png,TON__NatureTrail_v1_LS,TON,23,17256,45.4
SHB__GolfDr_v1_LS_f3444.png,SHB__GolfDr_v1_LS,SHB,2,3444,45.3
MAS__EMarseilles_v2_LS_f10692.png,MAS__EMarseilles_v2_LS,MAS,13,10692,45.2
SHW__NBassett_v1_LS_f13848.png,SHW__NBassett_v1_LS,SHW,35,13848,45.1
MAS__NMarseillesRd_v1_LS_f4302.png,MAS__NMarseillesRd_v1_LS,MAS,0,4302,44.8
SHB__EagleCreekDrEtc_v1_LS_f15690.png,SHB__EagleCreekDrEtc_v1_LS,SHB,20,15690,44.8
SHB__RedFoxLn_v1_LS_f55470.png,SHB__RedFoxLn_v1_LS,SHB,79,55470,44.7
SHB__NWolfCreekblue_v1_LS_f14016.png,SHB__NWolfCreekblue_v1_LS,SHB,41,14016,44.6
MAS__N25thBlue_v2_LS_f20640.png,MAS__N25thBlue_v2_LS,MAS,18,20640,44.5
SHW__Robinson_v1_LS_f14790.png,SHW__Robinson_v1_LS,SHW,37,14790,44.5
SHB__NWolfCreekblue_v1_LS_f30.png,SHB__NWolfCreekblue_v1_LS,SHB,0,30,44.3
SHW__Robinson_v1_LS_f2388.png,SHW__Robinson_v1_LS,SHW,6,2388,44.2
SHB__RedFoxLn_v1_LS_f17550.png,SHB__RedFoxLn_v1_LS,SHB,29,17550,44.1
SHB__RedFoxLn_v1_LS_f52668.png,SHB__RedFoxLn_v1_LS,SHB,77,52668,44.1
MAS__WMarseilles_v2_LS_f11970.png,MAS__WMarseilles_v2_LS,MAS,20,11970,43.9
MAS__NMarseillesRd_v1_LS_f13032.png,MAS__NMarseillesRd_v1_LS,MAS,1,13032,43.6
SHB__RedFoxLn_v1_LS_f22866.png,SHB__RedFoxLn_v1_LS,SHB,38,22866,43.6
SHW__HogThief_v1_LS_f5250.png,SHW__HogThief_v1_LS,SHW,7,5250,43.5
TON__GiantCityRd_v1_LS_f558.png,TON__GiantCityRd_v1_LS,TON,0,558,43.5
