group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.7787,0.8,0.8213,0.8213
split,test,38,0.7895,0.8158,0.8158,0.8158
split,train,152,0.7434,0.7566,0.7829,0.7829
split,val,45,0.8889,0.9333,0.9556,0.9556
site,MAS,15,0.8,0.9333,0.9333,0.9333
site,SHB,132,0.8106,0.8258,0.8561,0.8561
site,SHW,38,0.9211,0.9211,0.9211,0.9211
site,TON,50,0.58,0.6,0.62,0.62
