k,fit_m,fit_c,fit_MAE,heldout_MAE,heldout_bias,heldout_pred,heldout_counted
1,20,0.65,2.105,2.462,-1.385,65,69.9
2,20,0.65,1.947,2.308,-1.538,63,69.9
3,20,0.65,1.737,2.231,-1.769,60,68.7
5,20,0.65,1.526,2.385,-1.923,58,66.3
10,20,0.65,1.895,2.615,-2.462,51,60.2
20,2,0.65,1.421,3.0,-2.538,50,56.6
