video,site,track_id,count,touches_n_deer,n_frames,span_s,mean_conf,topk_conf,mean_box_px
AquaCultureRd_TON_12.03.25_LS,TON,2044,0,0,9,0.67,0.1059,0.1733,1358.5
AquaCultureRd_TON_12.03.25_LS,TON,2045,0,0,1,0.02,0.0398,0.0398,942.8
AquaCultureRd_TON_12.03.25_LS,TON,2046,0,0,5,0.22,0.045,0.045,440.8
AquaCultureRd_TON_12.03.25_LS,TON,2047,0,0,2,0.03,0.0219,0.0219,412.0
AquaCultureRd_TON_12.03.25_LS,TON,2048,0,0,54,1.33,0.0354,0.1054,451.0
AquaCultureRd_TON_12.03.25_LS,TON,2049,0,0,9,0.63,0.0336,0.04,481.0
AquaCultureRd_TON_12.03.25_LS,TON,2050,0,0,1,0.02,0.0286,0.0286,338.5
AquaCultureRd_TON_12.03.25_LS,TON,2051,0,0,28,0.3,0.0307,0.0449,320.2
AquaCultureRd_TON_12.03.25_LS,TON,2052,0,0,4,0.07,0.0248,0.0248,395.7
AquaCultureRd_TON_12.03.25_LS,TON,2053,0,0,7,0.03,0.0291,0.0321,321.6
AquaCultureRd_TON_12.03.25_LS,TON,2054,0,0,2,0.02,0.0301,0.0301,339.5
AquaCultureRd_TON_12.03.25_LS,TON,2055,0,0,8,0.23,0.0396,0.05,336.2
AquaCultureRd_TON_12.03.25_LS,TON,2056,0,0,2,0.02,0.0271,0.0271,371.4
AquaCultureRd_TON_12.03.25_LS,TON,2057,0,0,1,0.02,0.0296,0.0296,1520.1
AquaCultureRd_TON_12.03.25_LS,TON,2058,0,0,1,0.02,0.0401,0.0401,365.0
AquaCultureRd_TON_12.03.25_LS,TON,2059,0,0,1,0.02,0.0271,0.0271,206.0
AquaCultureRd_TON_12.03.25_LS,TON,2060,0,0,1,0.02,0.0211,0.0211,246.3
AquaCultureRd_TON_12.03.25_LS,TON,2061,0,0,1,0.02,0.0217,0.0217,391.3
AquaCultureRd_TON_12.03.25_LS,TON,2062,0,0,2,0.03,0.0629,0.0629,406.4
AquaCultureRd_TON_12.03.25_LS,TON,2063,0,0,1,0.02,0.0328,0.0328,393.1
AquaCultureRd_TON_12.03.25_LS,TON,2064,0,0,2,0.03,0.0234,0.0234,414.2
AquaCultureRd_TON_12.03.25_LS,TON,2065,0,0,2,0.02,0.0484,0.0484,312.6
AquaCultureRd_TON_12.03.25_LS,TON,2066,0,0,1,0.02,0.0274,0.0274,352.0
AquaCultureRd_TON_12.03.25_LS,TON,2067,0,0,1,0.02,0.0217,0.0217,383.5
AquaCultureRd_TON_12.03.25_LS,TON,2068,0,0,4,0.02,0.0975,0.0975,391.8
AquaCultureRd_TON_12.03.25_LS,TON,2069,0,0,1,0.02,0.0254,0.0254,1018.4
AquaCultureRd_TON_12.03.25_LS,TON,2070,0,0,3,0.05,0.0788,0.0788,340.3
AquaCultureRd_TON_12.03.25_LS,TON,2071,0,0,1,0.02,0.0562,0.0562,531.8
AquaCultureRd_TON_12.03.25_LS,TON,2072,0,0,3,0.12,0.0346,0.0346,423.6
AquaCultureRd_TON_12.03.25_LS,TON,2073,0,0,1,0.02,0.0228,0.0228,868.5
AquaCultureRd_TON_12.03.25_LS,TON,2074,0,0,1,0.02,0.0206,0.0206,381.6
AquaCultureRd_TON_12.03.25_LS,TON,2075,0,0,1,0.02,0.0244,0.0244,681.0
AquaCultureRd_TON_12.03.25_LS,TON,2076,0,0,3,0.03,0.0389,0.0389,380.5
AquaCultureRd_TON_12.03.25_LS,TON,2077,0,0,3,0.1,0.0321,0.0321,996.7
AquaCultureRd_TON_12.03.25_LS,TON,2078,0,0,79,0.87,0.1257,0.4939,465.0
AquaCultureRd_TON_12.03.25_LS,TON,2079,0,0,7,0.62,0.0938,0.1226,415.8
AquaCultureRd_TON_12.03.25_LS,TON,2080,0,0,1,0.02,0.23,0.23,428.7
AquaCultureRd_TON_12.03.25_LS,TON,2081,0,0,1,0.02,0.0237,0.0237,454.2
AquaCultureRd_TON_12.03.25_LS,TON,2082,0,0,9,0.37,0.0496,0.0612,4924.2
AquaCultureRd_TON_12.03.25_LS,TON,2083,0,0,19,0.27,0.0577,0.1124,444.5
AquaCultureRd_TON_12.03.25_LS,TON,2084,0,0,3,0.05,0.1396,0.1396,379.7
AquaCultureRd_TON_12.03.25_LS,TON,2085,0,0,20,0.25,0.0417,0.0769,650.0
AquaCultureRd_TON_12.03.25_LS,TON,2086,0,0,5,0.33,0.0356,0.0356,1511.4
AquaCultureRd_TON_12.03.25_LS,TON,2087,0,0,3,0.02,0.0593,0.0593,307.2
AquaCultureRd_TON_12.03.25_LS,TON,2088,0,0,4,0.15,0.0266,0.0266,279.0
AquaCultureRd_TON_12.03.25_LS,TON,2089,0,0,3,0.07,0.0402,0.0402,2074.2
AquaCultureRd_TON_12.03.25_LS,TON,2090,0,0,2,0.03,0.0302,0.0302,577.9
AquaCultureRd_TON_12.03.25_LS,TON,2091,0,0,5,0.05,0.0571,0.0571,789.0
AquaCultureRd_TON_12.03.25_LS,TON,2092,0,0,1,0.02,0.0256,0.0256,438.8
AquaCultureRd_TON_12.03.25_LS,TON,2093,0,0,2,0.02,0.038,0.038,427.2
AquaCultureRd_TON_12.03.25_LS,TON,2094,0,0,5,0.03,0.0511,0.0511,252.5
AquaCultureRd_TON_12.03.25_LS,TON,2095,0,0,15,0.65,0.1419,0.2711,371.6
AquaCultureRd_TON_12.03.25_LS,TON,2096,0,0,38,0.23,0.1083,0.3595,593.1
AquaCultureRd_TON_12.03.25_LS,TON,2097,0,0,6,0.07,0.1611,0.1893,396.5
AquaCultureRd_TON_12.03.25_LS,TON,2098,0,0,2,0.03,0.069,0.069,365.3
AquaCultureRd_TON_12.03.25_LS,TON,2099,0,0,27,0.3,0.1105,0.2881,451.5
AquaCultureRd_TON_12.03.25_LS,TON,2100,0,0,1,0.02,0.0262,0.0262,347.5
AquaCultureRd_TON_12.03.25_LS,TON,2101,0,0,1,0.02,0.0301,0.0301,875.9
AquaCultureRd_TON_12.03.25_LS,TON,2102,0,0,5,0.08,0.0755,0.0755,2025.9
AquaCultureRd_TON_12.03.25_LS,TON,2103,0,0,1,0.02,0.1568,0.1568,210.4
AquaCultureRd_TON_12.03.25_LS,TON,2104,0,0,5,0.05,0.1487,0.1487,418.6
AquaCultureRd_TON_12.03.25_LS,TON,2105,0,0,1,0.02,0.0227,0.0227,331.5
AquaCultureRd_TON_12.03.25_LS,TON,2106,0,0,3,0.05,0.0983,0.0983,540.6
AquaCultureRd_TON_12.03.25_LS,TON,2107,0,0,1,0.02,0.0235,0.0235,372.3
AquaCultureRd_TON_12.03.25_LS,TON,2108,0,0,4,0.03,0.0441,0.0441,396.5
AquaCultureRd_TON_12.03.25_LS,TON,2109,0,0,1,0.02,0.033,0.033,249.4
AquaCultureRd_TON_12.03.25_LS,TON,2110,0,0,1,0.02,0.0258,0.0258,751.2
AquaCultureRd_TON_12.03.25_LS,TON,2111,0,0,2,0.03,0.0347,0.0347,786.9
AquaCultureRd_TON_12.03.25_LS,TON,2112,0,0,16,0.3,0.0472,0.0964,373.0
AquaCultureRd_TON_12.03.25_LS,TON,2113,0,0,18,0.43,0.0286,0.037,257.6
AquaCultureRd_TON_12.03.25_LS,TON,2114,0,0,1,0.02,0.0221,0.0221,214.3
AquaCultureRd_TON_12.03.25_LS,TON,2115,0,0,3,0.4,0.0269,0.0269,415.7
AquaCultureRd_TON_12.03.25_LS,TON,2116,0,0,1,0.02,0.0516,0.0516,327.0
AquaCultureRd_TON_12.03.25_LS,TON,2117,0,0,5,0.18,0.0227,0.0227,190.8
AquaCultureRd_TON_12.03.25_LS,TON,2118,0,0,13,0.08,0.0293,0.034,212.9
AquaCultureRd_TON_12.03.25_LS,TON,2119,0,0,1,0.02,0.0203,0.0203,1273.8
AquaCultureRd_TON_12.03.25_LS,TON,2120,0,0,12,0.17,0.0526,0.0742,707.5
AquaCultureRd_TON_12.03.25_LS,TON,2121,0,0,5,0.53,0.035,0.035,1115.4
AquaCultureRd_TON_12.03.25_LS,TON,2122,0,0,1,0.02,0.0274,0.0274,418.7
AquaCultureRd_TON_12.03.25_LS,TON,2123,0,0,1,0.02,0.0267,0.0267,718.4
AquaCultureRd_TON_12.03.25_LS,TON,2124,0,0,8,0.02,0.0346,0.0405,268.7
AquaCultureRd_TON_12.03.25_LS,TON,2125,0,0,1,0.02,0.0418,0.0418,982.2
AquaCultureRd_TON_12.03.25_LS,TON,2126,0,0,9,1.17,0.0501,0.0667,501.4
AquaCultureRd_TON_12.03.25_LS,TON,2127,0,0,3,0.23,0.0287,0.0287,386.5
AquaCultureRd_TON_12.03.25_LS,TON,2128,0,0,4,0.52,0.038,0.038,415.1
AquaCultureRd_TON_12.03.25_LS,TON,2129,0,0,1,0.02,0.0203,0.0203,498.9
AquaCultureRd_TON_12.03.25_LS,TON,2130,0,0,9,0.9,0.0437,0.0604,530.9
AquaCultureRd_TON_12.03.25_LS,TON,2131,0,0,2,0.03,0.0302,0.0302,534.5
