video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17459,17510,291.06,291.91,52,0.87,0.7497,0.785,8587.5,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,77,16458,16458,274.37,274.37,1,0.02,0.6058,0.6058,1236.9,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,9,1721,1722,28.69,28.71,2,0.03,0.4933,0.4933,498.3,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,48,10851,10851,180.9,180.9,1,0.02,0.4907,0.4907,2918.1,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,89,17632,17638,293.95,294.05,2,0.12,0.4847,0.4847,1347.9,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,8,1715,1716,28.59,28.61,2,0.03,0.434,0.434,959.4,0
EMarseilles_MAS_12.22.25_LS_V1,MAS,57,13376,13376,222.99,222.99,1,0.02,0.3987,0.3987,958.6,0
GiantCityRd_TON_12.03.25_LS,TON,210,8303,8374,138.62,139.81,57,1.2,0.5798,0.7199,828.3,1
GiantCityRd_TON_12.03.25_LS,TON,177,3672,3731,61.31,62.29,39,1.0,0.5482,0.6976,604.2,1
GiantCityRd_TON_12.03.25_LS,TON,181,3754,3789,62.68,63.26,36,0.6,0.5015,0.6475,641.7,1
GiantCityRd_TON_12.03.25_LS,TON,108,433,476,7.23,7.95,40,0.73,0.4569,0.6467,297.5,1
GiantCityRd_TON_12.03.25_LS,TON,178,3683,3712,61.49,61.97,18,0.5,0.428,0.5075,452.5,1
GiantCityRd_TON_12.03.25_LS,TON,168,2001,2002,33.41,33.42,2,0.03,0.691,0.691,1005.4,0
GiantCityRd_TON_12.03.25_LS,TON,166,1996,1996,33.32,33.32,1,0.02,0.6897,0.6897,931.7,0
GiantCityRd_TON_12.03.25_LS,TON,257,10210,10219,170.46,170.61,8,0.17,0.5202,0.6036,1835.9,0
GiantCityRd_TON_12.03.25_LS,TON,145,1525,1525,25.46,25.46,1,0.02,0.5981,0.5981,1410.4,0
GiantCityRd_TON_12.03.25_LS,TON,258,10217,10225,170.58,170.71,3,0.15,0.5908,0.5908,1619.9,0
GiantCityRd_TON_12.03.25_LS,TON,138,1507,1507,25.16,25.16,1,0.02,0.5879,0.5879,1609.8,0
GiantCityRd_TON_12.03.25_LS,TON,197,4197,4197,70.07,70.07,1,0.02,0.5427,0.5427,1047.9,0
GiantCityRd_TON_12.03.25_LS,TON,120,550,550,9.18,9.18,1,0.02,0.5307,0.5307,5255.0,0
GiantCityRd_TON_12.03.25_LS,TON,115,539,539,9.0,9.0,1,0.02,0.484,0.484,503.0,0
GiantCityRd_TON_12.03.25_LS,TON,264,11816,11828,197.28,197.48,3,0.22,0.4495,0.4495,2044.7,0
GiantCityRd_TON_12.03.25_LS,TON,126,557,558,9.3,9.32,2,0.03,0.445,0.445,687.6,0
GiantCityRd_TON_12.03.25_LS,TON,110,444,450,7.41,7.51,7,0.12,0.3955,0.4389,5623.0,0
GiantCityRd_TON_12.03.25_LS,TON,183,3795,3796,63.36,63.38,2,0.03,0.4345,0.4345,330.1,0
GiantCityRd_TON_12.03.25_LS,TON,188,3878,3881,64.75,64.8,2,0.07,0.4236,0.4236,5235.7,0
GiantCityRd_TON_12.03.25_LS,TON,184,3795,3803,63.36,63.49,5,0.15,0.3428,0.3428,452.9,0
N25thRdBlue_MAS_12.22.25_LS_V1,MAS,281,6756,6821,112.6,113.68,44,1.1,0.4493,0.6355,457.7,1
N25thRdBlue_MAS_12.22.25_LS_V1,MAS,292,7242,7242,120.7,120.7,1,0.02,0.5359,0.5359,549.9,0
N25thRdBlue_MAS_12.22.25_LS_V1,MAS,278,4073,4082,67.88,68.03,9,0.17,0.4204,0.4774,897.7,0
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,371,10044,10091,167.4,168.18,44,0.8,0.7318,0.8212,2403.6,1
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,388,10815,10858,180.25,180.97,44,0.73,0.7608,0.8143,1421.3,1
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,419,13859,13914,230.98,231.9,55,0.93,0.7154,0.7925,1613.1,1
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,416,12999,13021,216.65,217.02,23,0.38,0.7049,0.7821,2033.3,1
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,382,10565,10637,176.08,177.28,56,1.22,0.6108,0.7463,1863.4,1
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,322,1225,1244,20.42,20.73,17,0.33,0.6168,0.7268,1105.0,1
