video,site,count,count_high,count_mid,candidate_tracks,fps,seconds
AquaCultureRd_TON_12.03.25_LS,TON,1,0,1,26,60.0,686.9
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,58,2,54,186,60.0,816.3
Melvin_SHW_01.18.2026_LS,SHW,5,0,4,23,60.0,548.0
N25thRdOrange_MAS_12.22.25_LS_V2,MAS,0,0,0,4,60.0,291.0
NShelbyRd(blue)_SHB_12.11.2025_LS,SHB,28,0,27,54,60.0,393.6
NWolfCreek(orange)_SHB_12.11.2025_LS,SHB,4,0,4,13,60.0,371.7
SBassett_SHW_01.18.2026_LS,SHW,31,0,31,82,60.0,734.5
Upper40_TON_12.03.25_LS,TON,4,0,3,14,60.0,250.4
