video,site,track_id,frame,t_s,xc,yc,w,h,conf,confirmed
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17459,291.06,609.7,187.2,52.1,68.7,0.6539,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17460,291.08,598.1,188.6,66.5,72.4,0.6757,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17461,291.09,589.6,194.4,76.3,80.8,0.7752,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17462,291.11,583.2,195.6,85.6,87.7,0.7736,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17463,291.13,570.6,194.0,88.6,87.6,0.7909,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17464,291.14,561.6,193.8,91.4,89.3,0.7522,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17465,291.16,552.3,196.6,91.2,92.1,0.7525,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17466,291.18,537.3,195.2,91.6,96.0,0.724,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17467,291.19,528.2,193.7,91.8,97.4,0.771,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17468,291.21,517.1,194.7,91.0,95.9,0.7751,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17469,291.23,506.5,194.4,90.1,98.6,0.7633,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17470,291.24,494.8,194.1,88.8,97.2,0.7787,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17471,291.26,483.0,194.6,93.1,102.4,0.7573,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17472,291.28,473.3,197.1,94.4,106.9,0.7545,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17473,291.29,461.1,200.0,95.0,107.7,0.7689,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17474,291.31,448.1,198.9,92.8,107.9,0.7706,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17475,291.33,435.1,198.5,92.6,106.9,0.7729,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17476,291.34,423.6,198.0,93.2,105.7,0.7577,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17477,291.36,411.5,198.5,96.6,106.2,0.7568,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17478,291.38,399.3,198.6,95.4,105.5,0.7677,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17479,291.39,387.6,199.1,92.9,102.4,0.7678,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17480,291.41,375.1,197.6,90.1,99.1,0.789,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17481,291.43,364.2,197.5,89.9,97.8,0.7722,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17482,291.44,352.1,201.9,87.0,97.0,0.7799,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17483,291.46,339.5,203.2,88.6,97.2,0.7622,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17484,291.48,328.4,203.1,89.9,99.3,0.7554,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17485,291.49,314.9,203.4,89.8,101.8,0.782,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17486,291.51,303.0,204.1,91.2,102.4,0.781,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17487,291.53,300.3,206.3,78.4,99.6,0.7447,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17488,291.54,281.7,208.1,82.9,96.2,0.7812,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17489,291.56,264.5,209.9,85.2,97.8,0.7819,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17490,291.58,250.4,211.8,86.5,97.4,0.7677,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17491,291.59,236.9,213.5,90.4,102.3,0.7401,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17492,291.61,228.5,213.7,88.2,102.4,0.7572,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17493,291.63,216.4,214.0,89.6,101.8,0.7485,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17494,291.64,203.6,215.8,90.0,101.6,0.7634,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17495,291.66,185.3,216.5,91.2,102.2,0.7754,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17496,291.68,169.7,217.0,94.0,103.3,0.7729,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17497,291.69,156.9,217.2,93.8,103.1,0.7751,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17498,291.71,142.9,219.5,92.8,101.3,0.7598,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17499,291.73,129.9,221.0,94.2,103.9,0.7356,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17500,291.74,116.8,222.1,90.0,103.3,0.7374,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17501,291.76,103.9,222.6,90.3,103.6,0.7307,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17502,291.78,91.6,224.1,92.1,107.0,0.7483,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17503,291.79,80.1,224.3,90.0,106.7,0.7776,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17504,291.81,66.9,226.6,88.1,106.5,0.7677,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17505,291.83,51.6,227.6,88.7,106.1,0.7569,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17506,291.84,43.0,227.4,86.0,107.4,0.7453,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17507,291.86,38.2,228.1,76.5,102.7,0.7435,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17508,291.88,28.1,227.7,56.3,98.9,0.7213,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17509,291.89,22.3,230.1,44.6,99.6,0.7321,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,85,17510,291.91,18.5,231.7,37.1,94.6,0.3406,1
GiantCityRd_TON_12.03.25_LS,TON,108,433,7.23,627.8,179.4,21.5,16.4,0.4109,1
GiantCityRd_TON_12.03.25_LS,TON,108,434,7.25,623.6,178.6,20.4,15.6,0.4767,1
GiantCityRd_TON_12.03.25_LS,TON,108,435,7.26,619.4,178.5,19.8,14.7,0.3213,1
GiantCityRd_TON_12.03.25_LS,TON,108,436,7.28,615.8,178.6,20.4,15.3,0.5073,1
GiantCityRd_TON_12.03.25_LS,TON,108,437,7.3,612.7,178.5,20.3,15.5,0.2681,1
GiantCityRd_TON_12.03.25_LS,TON,108,438,7.31,609.4,177.9,20.6,15.3,0.4702,1
GiantCityRd_TON_12.03.25_LS,TON,108,439,7.33,606.1,177.9,21.0,15.3,0.3509,1
GiantCityRd_TON_12.03.25_LS,TON,108,440,7.35,601.9,177.6,20.5,15.1,0.2551,1
GiantCityRd_TON_12.03.25_LS,TON,108,441,7.36,598.4,177.8,22.1,15.8,0.3261,1
GiantCityRd_TON_12.03.25_LS,TON,108,442,7.38,595.8,177.6,23.8,16.3,0.4582,1
GiantCityRd_TON_12.03.25_LS,TON,108,443,7.4,592.1,176.5,22.7,15.5,0.4663,1
GiantCityRd_TON_12.03.25_LS,TON,108,444,7.41,588.4,176.9,21.1,15.1,0.327,1
