video,site,track_id,frame,t_s,xc,yc,w,h,conf,confirmed
EMarseilles_MAS_12.22.25_LS_V2,MAS,98,9771,162.95,293.9,411.7,38.3,37.6,0.6514,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,98,9780,163.1,164.6,420.4,32.6,35.6,0.7339,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,98,9784,163.16,104.4,414.0,29.8,29.6,0.5728,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,104,10100,168.43,564.0,11.4,35.5,22.0,0.498,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,104,10101,168.45,560.3,11.7,34.3,22.4,0.3792,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,104,10102,168.47,554.2,15.6,39.3,28.1,0.3476,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,104,10103,168.48,548.1,16.6,40.5,33.2,0.5656,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,104,10105,168.52,534.7,22.4,41.5,40.6,0.3164,0
GolfDr_SHB_12.11.2025,SHB,132,535,8.92,294.6,221.3,26.7,20.8,0.599,0
GolfDr_SHB_12.11.2025,SHB,132,536,8.93,294.8,221.4,26.7,20.3,0.5027,0
GolfDr_SHB_12.11.2025,SHB,132,537,8.95,293.4,220.0,27.3,20.7,0.4489,0
GolfDr_SHB_12.11.2025,SHB,132,538,8.97,296.8,220.3,27.4,20.1,0.3973,0
GolfDr_SHB_12.11.2025,SHB,132,539,8.98,295.0,220.9,26.5,20.4,0.3071,0
GolfDr_SHB_12.11.2025,SHB,135,675,11.25,48.9,239.4,25.8,19.9,0.732,0
GolfDr_SHB_12.11.2025,SHB,135,676,11.27,48.9,238.1,26.2,20.4,0.3473,0
GolfDr_SHB_12.11.2025,SHB,135,678,11.3,44.3,241.0,24.9,19.0,0.7278,0
GolfDr_SHB_12.11.2025,SHB,142,3215,53.58,627.5,285.6,22.0,19.3,0.6971,1
GolfDr_SHB_12.11.2025,SHB,142,3216,53.6,622.9,286.1,21.9,18.9,0.5404,1
GolfDr_SHB_12.11.2025,SHB,142,3217,53.62,617.4,285.4,21.9,19.0,0.5518,1
GolfDr_SHB_12.11.2025,SHB,142,3219,53.65,608.8,284.4,23.2,21.8,0.2672,1
GolfDr_SHB_12.11.2025,SHB,142,3221,53.68,598.2,285.7,23.0,20.6,0.3161,1
GolfDr_SHB_12.11.2025,SHB,142,3224,53.73,582.3,287.2,20.6,18.5,0.4233,1
GolfDr_SHB_12.11.2025,SHB,142,3225,53.75,576.2,285.4,20.8,19.0,0.4685,1
GolfDr_SHB_12.11.2025,SHB,142,3226,53.77,570.3,286.7,19.7,18.9,0.5587,1
GolfDr_SHB_12.11.2025,SHB,142,3227,53.78,565.4,286.4,20.3,18.7,0.4458,1
GolfDr_SHB_12.11.2025,SHB,142,3228,53.8,559.7,285.3,21.0,20.9,0.4507,1
GolfDr_SHB_12.11.2025,SHB,142,3230,53.83,550.6,284.4,21.4,25.0,0.3696,1
GolfDr_SHB_12.11.2025,SHB,142,3238,53.97,506.5,287.5,21.4,20.2,0.4065,1
GolfDr_SHB_12.11.2025,SHB,142,3239,53.98,501.2,288.6,21.0,20.1,0.6159,1
GolfDr_SHB_12.11.2025,SHB,142,3240,54.0,494.8,288.9,19.6,19.0,0.608,1
GolfDr_SHB_12.11.2025,SHB,142,3241,54.02,489.2,288.4,18.9,18.4,0.3863,1
GolfDr_SHB_12.11.2025,SHB,142,3242,54.03,483.9,288.6,20.3,19.3,0.6518,1
GolfDr_SHB_12.11.2025,SHB,142,3243,54.05,477.9,287.9,20.0,18.7,0.5934,1
GolfDr_SHB_12.11.2025,SHB,142,3244,54.07,472.3,287.7,19.8,19.1,0.5515,1
GolfDr_SHB_12.11.2025,SHB,142,3247,54.12,456.4,289.3,19.2,19.8,0.4762,1
GolfDr_SHB_12.11.2025,SHB,142,3248,54.13,451.8,289.3,19.2,20.4,0.3356,1
GolfDr_SHB_12.11.2025,SHB,142,3249,54.15,446.6,289.2,18.5,20.9,0.4059,1
GolfDr_SHB_12.11.2025,SHB,142,3250,54.17,441.8,289.5,18.6,20.8,0.4351,1
GolfDr_SHB_12.11.2025,SHB,142,3252,54.2,432.0,290.6,19.6,21.1,0.3003,1
GolfDr_SHB_12.11.2025,SHB,142,3253,54.22,428.0,290.6,21.8,21.9,0.3015,1
GolfDr_SHB_12.11.2025,SHB,142,3256,54.27,408.0,289.0,22.5,20.6,0.5382,1
GolfDr_SHB_12.11.2025,SHB,142,3257,54.28,402.2,289.6,21.3,19.7,0.5812,1
GolfDr_SHB_12.11.2025,SHB,142,3258,54.3,396.4,290.3,21.1,18.9,0.6608,1
GolfDr_SHB_12.11.2025,SHB,142,3260,54.33,388.3,289.6,26.4,19.7,0.4674,1
GolfDr_SHB_12.11.2025,SHB,142,3261,54.35,381.3,289.1,23.2,18.1,0.4151,1
GolfDr_SHB_12.11.2025,SHB,142,3262,54.37,374.7,289.1,21.1,17.2,0.27,1
GolfDr_SHB_12.11.2025,SHB,142,3263,54.38,369.2,288.9,20.5,18.0,0.432,1
GolfDr_SHB_12.11.2025,SHB,142,3264,54.4,363.1,288.3,20.7,18.1,0.4618,1
GolfDr_SHB_12.11.2025,SHB,142,3265,54.42,357.4,288.3,20.6,18.9,0.5007,1
GolfDr_SHB_12.11.2025,SHB,142,3266,54.43,352.0,287.6,21.6,19.0,0.4466,1
GolfDr_SHB_12.11.2025,SHB,142,3267,54.45,346.2,286.5,21.7,18.7,0.6216,1
GolfDr_SHB_12.11.2025,SHB,142,3268,54.47,341.3,287.2,21.3,18.7,0.4647,1
GolfDr_SHB_12.11.2025,SHB,142,3269,54.48,336.8,286.7,22.7,19.8,0.7316,1
GolfDr_SHB_12.11.2025,SHB,142,3270,54.5,332.0,287.2,22.3,20.1,0.6408,1
GolfDr_SHB_12.11.2025,SHB,142,3271,54.52,325.9,287.1,20.5,18.9,0.646,1
GolfDr_SHB_12.11.2025,SHB,142,3272,54.53,319.7,285.4,19.7,16.9,0.4556,1
GolfDr_SHB_12.11.2025,SHB,142,3273,54.55,314.4,285.8,20.5,17.5,0.284,1
GolfDr_SHB_12.11.2025,SHB,142,3277,54.62,293.3,285.0,19.1,15.6,0.3402,1
GolfDr_SHB_12.11.2025,SHB,142,3284,54.73,255.9,284.2,20.2,17.6,0.295,1
GolfDr_SHB_12.11.2025,SHB,142,3291,54.85,217.6,287.9,20.6,18.7,0.5505,1
GolfDr_SHB_12.11.2025,SHB,142,3292,54.87,211.6,289.3,20.2,17.8,0.4262,1
GolfDr_SHB_12.11.2025,SHB,142,3293,54.88,206.1,290.2,21.1,18.2,0.3471,1
GolfDr_SHB_12.11.2025,SHB,145,3369,56.15,601.4,263.5,69.3,66.8,0.6614,1
GolfDr_SHB_12.11.2025,SHB,145,3370,56.17,594.6,264.6,73.6,68.3,0.748,1
GolfDr_SHB_12.11.2025,SHB,145,3371,56.18,584.7,264.0,75.6,71.1,0.7606,1
GolfDr_SHB_12.11.2025,SHB,145,3372,56.2,576.2,264.7,74.3,70.8,0.7933,1
GolfDr_SHB_12.11.2025,SHB,145,3373,56.22,567.7,265.1,74.0,71.2,0.7972,1
GolfDr_SHB_12.11.2025,SHB,145,3374,56.23,558.1,266.4,69.1,71.9,0.6934,1
GolfDr_SHB_12.11.2025,SHB,145,3375,56.25,549.8,266.3,66.1,70.9,0.7785,1
GolfDr_SHB_12.11.2025,SHB,145,3376,56.27,541.4,266.3,64.4,69.3,0.8194,1
GolfDr_SHB_12.11.2025,SHB,145,3377,56.28,533.5,266.9,64.8,70.6,0.8256,1
GolfDr_SHB_12.11.2025,SHB,145,3378,56.3,524.9,268.3,65.6,70.2,0.8171,1
GolfDr_SHB_12.11.2025,SHB,145,3379,56.32,517.2,267.5,66.2,70.0,0.8213,1
GolfDr_SHB_12.11.2025,SHB,145,3380,56.33,508.0,268.3,66.0,68.1,0.831,1
GolfDr_SHB_12.11.2025,SHB,145,3381,56.35,501.3,268.5,66.1,63.5,0.7527,1
GolfDr_SHB_12.11.2025,SHB,145,3382,56.37,487.8,273.4,57.2,60.0,0.5066,1
GolfDr_SHB_12.11.2025,SHB,145,3383,56.38,472.4,274.8,53.2,59.7,0.4933,1
GolfDr_SHB_12.11.2025,SHB,145,3386,56.43,462.3,264.8,53.8,55.4,0.8042,1
GolfDr_SHB_12.11.2025,SHB,145,3387,56.45,451.7,264.6,59.0,56.4,0.8445,1
GolfDr_SHB_12.11.2025,SHB,145,3388,56.47,441.8,266.9,64.6,58.9,0.8495,1
GolfDr_SHB_12.11.2025,SHB,145,3389,56.48,432.8,267.5,66.7,61.8,0.8394,1
GolfDr_SHB_12.11.2025,SHB,145,3390,56.5,423.7,267.9,66.7,62.0,0.8542,1
GolfDr_SHB_12.11.2025,SHB,145,3391,56.52,414.7,268.7,65.6,62.9,0.8556,1
GolfDr_SHB_12.11.2025,SHB,145,3392,56.53,406.2,271.2,64.0,65.3,0.8449,1
GolfDr_SHB_12.11.2025,SHB,145,3393,56.55,396.7,272.2,64.2,66.5,0.853,1
GolfDr_SHB_12.11.2025,SHB,145,3394,56.57,388.5,272.0,62.3,64.9,0.8459,1
GolfDr_SHB_12.11.2025,SHB,145,3395,56.58,380.2,272.5,61.2,62.7,0.8306,1
GolfDr_SHB_12.11.2025,SHB,145,3396,56.6,372.1,271.4,63.7,63.5,0.8599,1
GolfDr_SHB_12.11.2025,SHB,145,3397,56.62,363.8,269.9,63.1,63.8,0.8443,1
GolfDr_SHB_12.11.2025,SHB,145,3398,56.63,356.5,269.7,65.3,66.9,0.8516,1
GolfDr_SHB_12.11.2025,SHB,145,3399,56.65,348.6,268.0,65.4,67.1,0.8508,1
GolfDr_SHB_12.11.2025,SHB,145,3400,56.67,338.8,266.6,66.9,70.0,0.8516,1
GolfDr_SHB_12.11.2025,SHB,145,3401,56.68,329.9,267.1,63.6,67.6,0.8528,1
GolfDr_SHB_12.11.2025,SHB,145,3402,56.7,321.2,265.8,63.1,67.0,0.8572,1
