video,site,count,count_high,count_mid,candidate_tracks,fps,seconds
EMarseilles_MAS_12.22.25_LS_V1,MAS,1,0,1,7,60.0,691.0
GiantCityRd_TON_12.03.25_LS,TON,5,0,5,20,59.9,483.7
N25thRdBlue_MAS_12.22.25_LS_V1,MAS,1,0,1,3,60.0,553.4
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,8,0,8,19,60.0,591.1
NShelbyRd(pink)_SHB_12.11.2025_LS,SHB,4,0,4,17,59.9,349.5
OikosRd_TON_12.03.25_LS,TON,5,0,4,28,60.0,589.4
SIron_SHW_01.18.2026_LS,SHW,0,0,0,24,60.0,586.2
WhoopieCatDam_SHW_01.18.2026_LS,SHW,3,0,3,5,60.0,217.7
