video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
EMarseilles_MAS_12.22.25_LS_V2,MAS,54,6268,6268,104.53,104.53,1,0.02,0.7267,0.7267,2059.2,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,98,9771,9784,162.95,163.16,3,0.23,0.6527,0.6527,1161.7,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,56,6587,6588,109.85,109.86,2,0.03,0.5017,0.5017,920.6,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,81,9146,9146,152.52,152.52,1,0.02,0.4973,0.4973,1217.9,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,108,10463,10463,174.49,174.49,1,0.02,0.4894,0.4894,2166.0,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,61,7398,7398,123.37,123.37,1,0.02,0.481,0.481,2489.3,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,47,5727,5727,95.51,95.51,1,0.02,0.4405,0.4405,2757.0,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,104,10100,10105,168.43,168.52,5,0.1,0.4214,0.4214,1136.1,0
GolfDr_SHB_12.11.2025,SHB,145,3369,3441,56.15,57.35,70,1.22,0.7967,0.8686,3915.0,1
GolfDr_SHB_12.11.2025,SHB,158,3502,3627,58.37,60.45,124,2.1,0.7398,0.8612,2125.5,1
GolfDr_SHB_12.11.2025,SHB,146,3382,3454,56.37,57.57,72,1.22,0.768,0.8585,3242.7,1
GolfDr_SHB_12.11.2025,SHB,166,3634,3752,60.57,62.53,119,1.98,0.7511,0.8526,1500.3,1
GolfDr_SHB_12.11.2025,SHB,160,3577,3638,59.62,60.63,57,1.03,0.7526,0.8342,1607.0,1
GolfDr_SHB_12.11.2025,SHB,149,3397,3476,56.62,57.93,80,1.33,0.7522,0.8314,2158.4,1
GolfDr_SHB_12.11.2025,SHB,171,3647,3690,60.78,61.5,44,0.73,0.7742,0.8295,1532.3,1
GolfDr_SHB_12.11.2025,SHB,254,3942,4445,65.7,74.08,452,8.4,0.692,0.8033,473.0,1
GolfDr_SHB_12.11.2025,SHB,159,3517,3615,58.62,60.25,93,1.65,0.6907,0.7901,610.8,1
GolfDr_SHB_12.11.2025,SHB,285,4521,4655,75.35,77.58,108,2.25,0.6587,0.7869,437.1,1
GolfDr_SHB_12.11.2025,SHB,256,3975,4308,66.25,71.8,329,5.57,0.6143,0.7656,522.7,1
GolfDr_SHB_12.11.2025,SHB,162,3615,3728,60.25,62.13,114,1.9,0.6652,0.7521,1249.2,1
GolfDr_SHB_12.11.2025,SHB,168,3640,3676,60.67,61.27,33,0.62,0.6386,0.7478,627.2,1
GolfDr_SHB_12.11.2025,SHB,176,3672,3740,61.2,62.33,53,1.15,0.5655,0.7337,839.3,1
GolfDr_SHB_12.11.2025,SHB,304,4770,4807,79.5,80.12,38,0.63,0.6917,0.7281,494.2,1
GolfDr_SHB_12.11.2025,SHB,142,3215,3293,53.58,54.88,46,1.32,0.4725,0.6775,404.0,1
GolfDr_SHB_12.11.2025,SHB,303,4766,4812,79.43,80.2,39,0.78,0.4829,0.6334,641.4,1
GolfDr_SHB_12.11.2025,SHB,401,8271,8347,137.85,139.12,40,1.28,0.4646,0.6332,449.0,1
GolfDr_SHB_12.11.2025,SHB,264,4365,4411,72.75,73.52,34,0.78,0.4567,0.6161,516.3,1
GolfDr_SHB_12.11.2025,SHB,219,3860,3909,64.33,65.15,8,0.83,0.5155,0.6114,497.3,1
GolfDr_SHB_12.11.2025,SHB,380,6085,6119,101.42,101.98,20,0.58,0.3877,0.5284,548.1,1
GolfDr_SHB_12.11.2025,SHB,281,4472,4489,74.53,74.82,16,0.3,0.6313,0.7319,371.2,0
GolfDr_SHB_12.11.2025,SHB,308,4814,4814,80.23,80.23,1,0.02,0.7275,0.7275,558.7,0
GolfDr_SHB_12.11.2025,SHB,266,4447,4448,74.12,74.13,2,0.03,0.7261,0.7261,406.1,0
GolfDr_SHB_12.11.2025,SHB,306,4809,4812,80.15,80.2,4,0.07,0.7201,0.7201,538.6,0
GolfDr_SHB_12.11.2025,SHB,312,4817,4817,80.28,80.28,1,0.02,0.7139,0.7139,570.1,0
GolfDr_SHB_12.11.2025,SHB,267,4450,4450,74.17,74.17,1,0.02,0.7063,0.7063,422.8,0
GolfDr_SHB_12.11.2025,SHB,350,4844,4860,80.73,81.0,17,0.28,0.6453,0.6989,441.0,0
GolfDr_SHB_12.11.2025,SHB,299,4742,4742,79.03,79.03,1,0.02,0.6987,0.6987,479.8,0
GolfDr_SHB_12.11.2025,SHB,204,3787,3787,63.12,63.12,1,0.02,0.627,0.627,608.1,0
GolfDr_SHB_12.11.2025,SHB,313,4817,4817,80.28,80.28,1,0.02,0.6221,0.6221,710.1,0
GolfDr_SHB_12.11.2025,SHB,198,3761,3762,62.68,62.7,2,0.03,0.6161,0.6161,2156.7,0
GolfDr_SHB_12.11.2025,SHB,135,675,678,11.25,11.3,3,0.07,0.6024,0.6024,506.6,0
GolfDr_SHB_12.11.2025,SHB,411,8394,8404,139.9,140.07,10,0.18,0.492,0.6018,340.2,0
GolfDr_SHB_12.11.2025,SHB,282,4508,4509,75.13,75.15,2,0.03,0.5927,0.5927,618.6,0
