video,site,count,count_high,count_mid,candidate_tracks,fps,seconds
EMarseilles_MAS_12.22.25_LS_V2,MAS,0,0,0,8,60.0,455.0
GolfDr_SHB_12.11.2025,SHB,21,0,21,66,60.0,380.9
N25thRdOrange_MAS_12.22.25_LS_V1,MAS,1,0,1,4,60.0,291.3
NMarseilles_MAS_12.22.25_LS_V2,MAS,3,0,3,7,60.0,346.5
NWolfCreek(blue)_SHB_12.11.2025,SHB,50,0,43,204,60.0,2466.3
Robinson_SHW_01.18.2026_LS,SHW,6,0,6,31,60.0,685.1
TouchofNatureRd_TON_12.03.25_LS,TON,1,0,1,32,60.0,355.0
WolfCreekRd_SHB_12.11.2025_LS,SHB,4,0,3,21,59.9,311.3
