conf_track,fit_min_hits,fit_min_span_s,fit_MAE,heldout_MAE,heldout_RMSE,heldout_bias,heldout_over,heldout_under,heldout_counted_pct
0.0,20,1.0,3.474,3.692,5.364,-1.385,15,33,60.2
0.15,20,1.0,3.421,3.692,5.364,-1.385,15,33,60.2
0.25,20,1.0,3.211,3.692,5.364,-1.385,15,33,60.2
0.35,5,1.0,3.105,4.0,5.936,-1.538,16,36,56.6
0.45,20,0.5,3.053,3.846,4.867,-1.231,17,33,60.2
0.55,20,0.5,2.421,3.308,4.123,-1.923,9,34,59.0
0.65,20,0.0,1.526,2.385,3.15,-1.923,3,28,66.3
0.75,1,0.0,4.158,4.308,5.602,-4.308,0,56,32.5
0.85,1,0.0,7.895,6.385,9.319,-6.385,0,83,0.0
