conf_track,heldout_MAE,heldout_bias,heldout_over,heldout_under,heldout_counted_pct,predicted
0.0,3.538,2.154,37,9,89.2,111
0.15,3.538,2.154,37,9,89.2,111
0.25,3.769,1.923,37,12,85.5,108
0.35,3.692,1.231,32,16,80.7,99
0.45,3.385,-0.154,21,23,72.3,81
0.55,2.692,-1.0,11,24,71.1,70
0.65,2.385,-1.923,3,28,66.3,58
0.75,4.538,-4.538,0,59,28.9,24
0.85,6.385,-6.385,0,83,0.0,0
