group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.7915,0.8894,0.9064,0.9064
split,test,38,0.8421,0.8684,0.8947,0.8947
split,train,152,0.7566,0.8882,0.8947,0.8947
split,val,45,0.8667,0.9111,0.9556,0.9556
site,MAS,15,0.4667,0.6,0.6,0.6
site,SHB,132,0.8409,0.9318,0.9394,0.9394
site,SHW,38,0.8158,0.9211,0.9474,0.9474
site,TON,50,0.74,0.84,0.88,0.88
