video,identities,chance,geom,pixels,cnn
GolfDr_SHB_12.11.2025,12,0.0833,1.0,0.5,0.75
NWolfCreek(blue)_SHB_12.11.2025,28,0.0357,0.7143,0.1071,0.3214
Robinson_SHW_01.18.2026_LS,7,0.1429,0.7143,0.5714,0.8571
WolfCreekRd_SHB_12.11.2025_LS,4,0.25,0.75,0.75,1.0
