video,identities,chance,geom,pixels,cnn
FernRidgeRd_TON_12.03.25_LS,18,0.0556,0.9444,0.2778,0.5556
NIron_SHW_01.18.2026_LS,4,0.25,1.0,0.5,0.5
NatureTrail_TON_12.03.25_LS,14,0.0714,0.8571,0.0714,0.2857
SHog_SHW_01.18.2026_LS,8,0.125,1.0,0.875,0.75
