video,identities,chance,geom,pixels,cnn
GiantCityRd_TON_12.03.25_LS,8,0.125,1.0,0.875,1.0
NShelbyRd(pink)_SHB_12.11.2025_LS,4,0.25,0.75,0.75,1.0
