video,key,site,split,track_idx,gt_frames,checked,best_iou,best_conf,hits_iou50,found_iou50,hits_iou30,found_iou30,hits_touch,found_touch,hits_center,found_center
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,28,76,27,0.95,0.901,27,1,27,1,27,1,27,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,29,102,38,0.895,0.878,38,1,38,1,38,1,38,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,30,118,46,0.895,0.881,45,1,45,1,45,1,45,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,31,115,40,0.828,0.861,38,1,40,1,40,1,40,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,32,112,39,0.828,0.861,38,1,39,1,39,1,39,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,33,120,47,0.933,0.92,47,1,47,1,47,1,47,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,34,78,28,0.933,0.92,28,1,28,1,28,1,28,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,35,51,21,0.905,0.893,16,1,16,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,36,4,3,0.715,0.591,2,1,2,1,2,1,2,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,37,90,37,0.855,0.505,12,1,16,1,21,1,19,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,38,32,11,0.855,0.49,4,1,4,1,6,1,5,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,39,213,68,0.91,0.703,42,1,50,1,50,1,50,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,40,95,38,0.776,0.604,20,1,28,1,29,1,29,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,41,69,28,0.745,0.736,16,1,18,1,18,1,18,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,42,39,13,0.782,0.773,9,1,9,1,9,1,9,1
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB__EagleCreekDrEtc_v1_LS,SHB,train,43,36,13,0.875,0.724,13,1,13,1,13,1,13,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,0,188,65,0.819,0.73,40,1,48,1,51,1,50,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,1,158,57,0.896,0.484,20,1,26,1,28,1,28,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,2,94,40,0.833,0.624,28,1,34,1,35,1,35,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,3,47,18,0.443,0.484,0,0,7,1,17,1,14,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,4,99,34,0.443,0.484,0,0,10,1,21,1,18,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,5,73,26,0.884,0.768,26,1,26,1,26,1,26,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,6,103,38,0.825,0.643,31,1,32,1,32,1,32,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,7,404,66,0.927,0.753,36,1,40,1,41,1,41,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,8,130,48,0.869,0.808,30,1,38,1,39,1,39,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,9,567,67,0.813,0.705,32,1,46,1,50,1,46,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,10,82,29,0.54,0.603,7,1,22,1,22,1,22,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,11,370,69,0.919,0.829,56,1,57,1,58,1,57,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,12,477,67,0.944,0.804,45,1,47,1,48,1,48,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,13,147,54,0.803,0.625,28,1,32,1,36,1,35,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,14,47,20,0.742,0.741,14,1,20,1,20,1,20,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,15,33,11,0.699,0.685,5,1,11,1,11,1,11,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,16,24,9,0.738,0.685,5,1,9,1,9,1,9,1
FernRidgeRd_TON_12.03.25_LS,TON__FernRidgeRd_v1_LS,TON,train,17,187,67,0.975,0.763,41,1,54,1,57,1,57,1
GiantCityRd_TON_12.03.25_LS,TON__GiantCityRd_v1_LS,TON,val,0,57,20,0.784,0.729,5,1,15,1,18,1,18,1
GiantCityRd_TON_12.03.25_LS,TON__GiantCityRd_v1_LS,TON,val,1,117,40,0.634,0.616,19,1,28,1,31,1,30,1
