group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.9234,0.9745,0.983,0.983
split,test,38,0.8947,1.0,1.0,1.0
split,train,152,0.9211,0.9737,0.9737,0.9737
split,val,45,0.9556,0.9556,1.0,1.0
site,MAS,15,0.8,0.8667,0.9333,0.9333
site,SHB,132,0.947,0.9848,0.9848,0.9848
site,SHW,38,0.9737,0.9737,0.9737,0.9737
site,TON,50,0.86,0.98,1.0,1.0
