group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.9191,0.9489,0.9489,0.9489
split,test,38,0.8421,0.8684,0.8684,0.8684
split,train,152,0.9605,0.9737,0.9737,0.9737
split,val,45,0.8444,0.9333,0.9333,0.9333
site,MAS,15,1.0,1.0,1.0,1.0
site,SHB,132,0.9394,0.9924,0.9924,0.9924
site,SHW,38,0.9737,0.9737,0.9737,0.9737
site,TON,50,0.8,0.8,0.8,0.8
