group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.9745,0.9872,0.9957,0.9915
split,test,38,1.0,1.0,1.0,1.0
split,train,152,0.9605,0.9803,0.9934,0.9868
split,val,45,1.0,1.0,1.0,1.0
site,MAS,15,1.0,1.0,1.0,1.0
site,SHB,132,0.9621,0.9848,0.9924,0.9924
site,SHW,38,1.0,1.0,1.0,1.0
site,TON,50,0.98,0.98,1.0,0.98
