video,key,site,transect,visit,date,side,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v1_LS,MAS,N2379Rd,1,12.22.25,LS,11,8136,8322,135.67,138.77,3.1,13,8262,26.8,0,242,579,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v1_LS,MAS,N2379Rd,1,12.22.25,LS,12,8460,8520,141.07,142.07,1.0,3,8472,20.9,139,430,480,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v1_LS,MAS,N2379Rd,1,12.22.25,LS,13,8700,8778,145.07,146.37,1.3,4,8742,21.2,50,351,564,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v1_LS,MAS,N2379Rd,1,12.22.25,LS,14,9252,9282,154.28,154.78,0.5,2,9252,22.0,30,509,266,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v1_LS,MAS,N2379Rd,1,12.22.25,LS,15,9366,25770,156.18,429.71,273.53,2631,23568,47.1,0,0,640,512
N2379Rd_MAS_12.22.25_LS.mp4,MAS__N2379Rd_v1_LS,MAS,N2379Rd,1,12.22.25,LS,16,25842,26076,430.91,434.81,3.9,33,25914,22.2,0,92,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,0,0,408,0.0,6.8,6.8,53,6,29.6,0,301,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,1,474,576,7.9,9.6,1.7,6,474,21.3,59,322,166,368
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,2,732,1182,12.2,19.7,7.5,29,1062,28.4,0,222,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,3,1254,2328,20.9,38.8,17.9,139,2094,29.9,0,102,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,MAS__N25thRdBlue_v1_LS,MAS,N25thRdBlue,1,12.22.25,LS,4,2424,2448,40.4,40.8,0.4,5,2442,20.7,0,36,563,295
