group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.9574,0.966,0.9702,0.9702
split,test,38,0.9211,0.9211,0.9474,0.9474
split,train,152,0.9737,0.9803,0.9803,0.9803
split,val,45,0.9333,0.9556,0.9556,0.9556
site,MAS,15,0.9333,1.0,1.0,1.0
site,SHB,132,0.9924,0.9924,0.9924,0.9924
site,SHW,38,0.9474,0.9474,0.9474,0.9474
site,TON,50,0.88,0.9,0.92,0.92
