group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.966,0.983,0.983,0.983
split,test,38,0.9737,1.0,1.0,1.0
split,train,152,0.9737,0.9868,0.9868,0.9868
split,val,45,0.9333,0.9556,0.9556,0.9556
site,MAS,15,0.9333,1.0,1.0,1.0
site,SHB,132,0.9924,0.9924,0.9924,0.9924
site,SHW,38,1.0,1.0,1.0,1.0
site,TON,50,0.88,0.94,0.94,0.94
