group,value,gt_deer,recall_iou50,recall_iou30,recall_touch,recall_center
ALL,all,235,0.8255,0.8596,0.8638,0.8638
split,test,38,0.8421,0.8684,0.8684,0.8684
split,train,152,0.7961,0.8421,0.8421,0.8421
split,val,45,0.9111,0.9111,0.9333,0.9333
site,MAS,15,0.6,0.6,0.6,0.6
site,SHB,132,0.8788,0.9242,0.9242,0.9242
site,SHW,38,0.9211,0.9211,0.9211,0.9211
site,TON,50,0.68,0.72,0.74,0.74
