video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
ChipsRd_TON_12.03.25_LS,TON,15,1236,1266,20.6,21.1,30,0.52,0.5014,0.7044,1488.5,1
ChipsRd_TON_12.03.25_LS,TON,9,1093,1109,18.22,18.48,13,0.28,0.6965,0.7486,1398.2,0
ChipsRd_TON_12.03.25_LS,TON,6,490,490,8.17,8.17,1,0.02,0.5951,0.5951,741.2,0
ChipsRd_TON_12.03.25_LS,TON,29,3209,3209,53.48,53.48,1,0.02,0.426,0.426,362.9,0
ChipsRd_TON_12.03.25_LS,TON,39,5079,5079,84.65,84.65,1,0.02,0.3941,0.3941,1000.7,0
ChipsRd_TON_12.03.25_LS,TON,41,7104,7104,118.4,118.4,1,0.02,0.388,0.388,626.2,0
ChipsRd_TON_12.03.25_LS,TON,1,18,21,0.3,0.35,4,0.07,0.3405,0.3405,614.4,0
ChipsRd_TON_12.03.25_LS,TON,32,3293,3297,54.88,54.95,5,0.08,0.2632,0.2632,487.6,0
FernRidgeRd_TON_12.03.25_LS,TON,577,33880,34090,564.66,568.16,162,3.52,0.662,0.8684,616.0,1
FernRidgeRd_TON_12.03.25_LS,TON,578,33885,34069,564.74,567.81,174,3.08,0.6388,0.7996,689.7,1
FernRidgeRd_TON_12.03.25_LS,TON,631,34761,34829,579.34,580.48,69,1.15,0.7267,0.797,1211.9,1
FernRidgeRd_TON_12.03.25_LS,TON,570,33697,33881,561.61,564.68,172,3.08,0.663,0.7878,669.6,1
FernRidgeRd_TON_12.03.25_LS,TON,623,34631,34734,577.18,578.89,76,1.73,0.5974,0.777,1263.8,1
FernRidgeRd_TON_12.03.25_LS,TON,212,12084,12159,201.4,202.65,65,1.27,0.7046,0.7708,1468.8,1
FernRidgeRd_TON_12.03.25_LS,TON,268,14542,14625,242.36,243.75,81,1.4,0.6436,0.7665,951.8,1
FernRidgeRd_TON_12.03.25_LS,TON,229,12674,12730,211.23,212.16,51,0.95,0.6421,0.7521,750.8,1
FernRidgeRd_TON_12.03.25_LS,TON,226,12578,12657,209.63,210.95,75,1.33,0.6113,0.7511,860.4,1
FernRidgeRd_TON_12.03.25_LS,TON,77,4152,4265,69.2,71.08,96,1.9,0.6104,0.7361,547.0,1
FernRidgeRd_TON_12.03.25_LS,TON,214,12135,12241,202.25,204.01,96,1.78,0.6001,0.7226,455.4,1
FernRidgeRd_TON_12.03.25_LS,TON,612,34266,34335,571.09,572.24,58,1.17,0.5387,0.7168,1017.6,1
FernRidgeRd_TON_12.03.25_LS,TON,605,34216,34254,570.26,570.89,32,0.65,0.5014,0.7156,1053.5,1
FernRidgeRd_TON_12.03.25_LS,TON,263,14419,14524,240.31,242.06,106,1.77,0.6291,0.7099,920.0,1
FernRidgeRd_TON_12.03.25_LS,TON,239,12923,12973,215.38,216.21,13,0.85,0.5838,0.7034,706.9,1
FernRidgeRd_TON_12.03.25_LS,TON,621,34623,34694,577.04,578.23,61,1.2,0.5396,0.6922,541.9,1
FernRidgeRd_TON_12.03.25_LS,TON,232,12749,12800,212.48,213.33,34,0.87,0.5153,0.6845,791.5,1
FernRidgeRd_TON_12.03.25_LS,TON,147,7221,7318,120.35,121.96,73,1.63,0.4938,0.6666,428.9,1
FernRidgeRd_TON_12.03.25_LS,TON,117,5715,5876,95.25,97.93,102,2.7,0.4628,0.6656,388.9,1
FernRidgeRd_TON_12.03.25_LS,TON,396,23137,23167,385.61,386.11,30,0.52,0.5553,0.6473,1373.9,1
FernRidgeRd_TON_12.03.25_LS,TON,549,31972,32011,532.86,533.51,37,0.67,0.5659,0.643,183.8,1
FernRidgeRd_TON_12.03.25_LS,TON,260,14245,14282,237.41,238.03,20,0.63,0.4642,0.642,909.4,1
FernRidgeRd_TON_12.03.25_LS,TON,462,28026,28064,467.09,467.73,27,0.65,0.4413,0.6396,617.5,1
FernRidgeRd_TON_12.03.25_LS,TON,243,12975,12993,216.25,216.55,15,0.32,0.4384,0.6205,968.7,1
FernRidgeRd_TON_12.03.25_LS,TON,501,30918,31031,515.29,517.18,96,1.9,0.3902,0.6158,380.3,1
FernRidgeRd_TON_12.03.25_LS,TON,491,30636,30759,510.59,512.64,116,2.07,0.4885,0.6139,360.4,1
FernRidgeRd_TON_12.03.25_LS,TON,285,14694,14757,244.9,245.95,32,1.07,0.3976,0.6091,981.5,1
FernRidgeRd_TON_12.03.25_LS,TON,540,31843,31884,530.71,531.39,29,0.7,0.3828,0.5974,526.3,1
FernRidgeRd_TON_12.03.25_LS,TON,494,30791,30857,513.18,514.28,52,1.12,0.4608,0.5893,357.5,1
FernRidgeRd_TON_12.03.25_LS,TON,280,14659,14706,244.31,245.1,24,0.8,0.3749,0.5873,826.3,1
FernRidgeRd_TON_12.03.25_LS,TON,535,31798,31835,529.96,530.58,20,0.63,0.4873,0.585,607.6,1
FernRidgeRd_TON_12.03.25_LS,TON,389,22999,23021,383.31,383.68,12,0.38,0.4107,0.5793,1590.7,1
FernRidgeRd_TON_12.03.25_LS,TON,515,31058,31206,517.63,520.09,147,2.48,0.4031,0.5689,344.9,1
FernRidgeRd_TON_12.03.25_LS,TON,132,6783,6805,113.05,113.42,19,0.38,0.3817,0.5085,668.2,1
FernRidgeRd_TON_12.03.25_LS,TON,85,4302,4335,71.7,72.25,21,0.57,0.4424,0.4983,492.0,1
FernRidgeRd_TON_12.03.25_LS,TON,404,24758,24773,412.63,412.88,16,0.27,0.5745,0.682,1708.2,0
FernRidgeRd_TON_12.03.25_LS,TON,176,8486,8499,141.43,141.65,11,0.23,0.5226,0.6294,971.1,0
FernRidgeRd_TON_12.03.25_LS,TON,207,11995,12006,199.91,200.1,12,0.2,0.5326,0.6222,1455.5,0
FernRidgeRd_TON_12.03.25_LS,TON,624,34655,34667,577.58,577.78,13,0.22,0.5016,0.5975,295.6,0
FernRidgeRd_TON_12.03.25_LS,TON,292,15102,15104,251.7,251.73,3,0.05,0.5931,0.5931,2430.8,0
FernRidgeRd_TON_12.03.25_LS,TON,91,4564,4566,76.07,76.1,3,0.05,0.5885,0.5885,957.5,0
FernRidgeRd_TON_12.03.25_LS,TON,573,33819,33835,563.64,563.91,13,0.28,0.4157,0.5502,556.0,0
FernRidgeRd_TON_12.03.25_LS,TON,246,13177,13177,219.61,219.61,1,0.02,0.5486,0.5486,2438.8,0
FernRidgeRd_TON_12.03.25_LS,TON,195,10911,10911,181.85,181.85,1,0.02,0.5391,0.5391,1709.5,0
FernRidgeRd_TON_12.03.25_LS,TON,202,11937,11948,198.95,199.13,9,0.2,0.4184,0.5299,1429.1,0
FernRidgeRd_TON_12.03.25_LS,TON,545,31930,31936,532.16,532.26,7,0.12,0.4842,0.5251,191.6,0
FernRidgeRd_TON_12.03.25_LS,TON,225,12542,12551,209.03,209.18,10,0.17,0.3847,0.5245,550.6,0
FernRidgeRd_TON_12.03.25_LS,TON,372,22383,22390,373.04,373.16,7,0.13,0.4861,0.5241,1211.2,0
FernRidgeRd_TON_12.03.25_LS,TON,460,28022,28022,467.03,467.03,1,0.02,0.523,0.523,706.2,0
FernRidgeRd_TON_12.03.25_LS,TON,493,30768,30783,512.79,513.04,15,0.27,0.4612,0.5217,367.5,0
FernRidgeRd_TON_12.03.25_LS,TON,487,30560,30565,509.33,509.41,6,0.1,0.4724,0.5216,1728.3,0
FernRidgeRd_TON_12.03.25_LS,TON,552,32013,32014,533.54,533.56,2,0.03,0.5164,0.5164,215.3,0
FernRidgeRd_TON_12.03.25_LS,TON,174,8443,8446,140.71,140.76,4,0.07,0.5159,0.5159,491.6,0
FernRidgeRd_TON_12.03.25_LS,TON,250,13587,13593,226.45,226.55,4,0.12,0.5129,0.5129,630.5,0
FernRidgeRd_TON_12.03.25_LS,TON,547,31967,31969,532.78,532.81,3,0.05,0.5102,0.5102,194.8,0
FernRidgeRd_TON_12.03.25_LS,TON,150,7828,7835,130.46,130.58,8,0.13,0.4061,0.5062,1034.3,0
FernRidgeRd_TON_12.03.25_LS,TON,254,14208,14220,236.8,237.0,7,0.22,0.4217,0.4983,1143.3,0
FernRidgeRd_TON_12.03.25_LS,TON,456,27986,27994,466.43,466.56,7,0.15,0.4632,0.4969,675.5,0
FernRidgeRd_TON_12.03.25_LS,TON,112,5340,5352,89.0,89.2,9,0.22,0.4487,0.4956,410.1,0
FernRidgeRd_TON_12.03.25_LS,TON,610,34249,34266,570.81,571.09,13,0.3,0.3704,0.4931,560.0,0
FernRidgeRd_TON_12.03.25_LS,TON,276,14650,14664,244.16,244.4,13,0.25,0.3244,0.4832,854.4,0
FernRidgeRd_TON_12.03.25_LS,TON,163,8075,8078,134.58,134.63,4,0.07,0.4788,0.4788,486.5,0
FernRidgeRd_TON_12.03.25_LS,TON,313,18722,18725,312.03,312.08,3,0.07,0.4728,0.4728,706.9,0
FernRidgeRd_TON_12.03.25_LS,TON,234,12828,12845,213.8,214.08,10,0.3,0.329,0.4724,706.2,0
FernRidgeRd_TON_12.03.25_LS,TON,455,27962,27964,466.03,466.06,3,0.05,0.4705,0.4705,806.2,0
FernRidgeRd_TON_12.03.25_LS,TON,145,7195,7195,119.92,119.92,1,0.02,0.4666,0.4666,965.9,0
FernRidgeRd_TON_12.03.25_LS,TON,481,29380,29387,489.66,489.78,8,0.13,0.3456,0.4618,536.2,0
FernRidgeRd_TON_12.03.25_LS,TON,496,30863,30872,514.38,514.53,10,0.17,0.4083,0.4618,424.3,0
FernRidgeRd_TON_12.03.25_LS,TON,467,28101,28110,468.34,468.49,9,0.17,0.3949,0.4614,477.8,0
FernRidgeRd_TON_12.03.25_LS,TON,449,27537,27542,458.94,459.03,6,0.1,0.4468,0.4595,630.9,0
FernRidgeRd_TON_12.03.25_LS,TON,264,14482,14486,241.36,241.43,5,0.08,0.4587,0.4587,1358.8,0
FernRidgeRd_TON_12.03.25_LS,TON,574,33864,33865,564.39,564.41,2,0.03,0.457,0.457,504.3,0
FernRidgeRd_TON_12.03.25_LS,TON,120,5781,5782,96.35,96.37,2,0.03,0.4554,0.4554,405.8,0
FernRidgeRd_TON_12.03.25_LS,TON,317,18767,18770,312.78,312.83,4,0.07,0.4553,0.4553,842.6,0
FernRidgeRd_TON_12.03.25_LS,TON,67,3409,3409,56.82,56.82,1,0.02,0.455,0.455,868.2,0
