video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
AquaCultureRd_TON_12.03.25_LS,TON,18,2979,3015,49.69,50.29,26,0.62,0.5025,0.6877,898.7,1
AquaCultureRd_TON_12.03.25_LS,TON,182,17019,17019,283.88,283.88,1,0.02,0.6457,0.6457,1748.4,0
AquaCultureRd_TON_12.03.25_LS,TON,162,15557,15560,259.49,259.54,4,0.07,0.5597,0.5597,469.2,0
AquaCultureRd_TON_12.03.25_LS,TON,179,16975,16975,283.14,283.14,1,0.02,0.5429,0.5429,975.3,0
AquaCultureRd_TON_12.03.25_LS,TON,126,13361,13362,222.86,222.88,2,0.03,0.5428,0.5428,194.9,0
AquaCultureRd_TON_12.03.25_LS,TON,127,13384,13393,223.25,223.4,10,0.17,0.3845,0.5245,444.8,0
AquaCultureRd_TON_12.03.25_LS,TON,90,8706,8719,145.22,145.43,10,0.23,0.3936,0.5241,1213.6,0
AquaCultureRd_TON_12.03.25_LS,TON,67,6685,6685,111.51,111.51,1,0.02,0.5168,0.5168,619.6,0
AquaCultureRd_TON_12.03.25_LS,TON,208,18935,18948,315.84,316.05,12,0.23,0.3688,0.4882,217.1,0
AquaCultureRd_TON_12.03.25_LS,TON,93,8772,8776,146.32,146.38,4,0.08,0.4708,0.4708,1158.8,0
AquaCultureRd_TON_12.03.25_LS,TON,11,1177,1177,19.63,19.63,1,0.02,0.4665,0.4665,1735.0,0
AquaCultureRd_TON_12.03.25_LS,TON,107,10075,10077,168.05,168.08,3,0.05,0.4584,0.4584,600.3,0
AquaCultureRd_TON_12.03.25_LS,TON,195,17281,17290,288.25,288.4,8,0.17,0.3499,0.4478,866.8,0
AquaCultureRd_TON_12.03.25_LS,TON,197,17317,17321,288.85,288.91,5,0.08,0.4171,0.4171,1299.5,0
AquaCultureRd_TON_12.03.25_LS,TON,209,19533,19533,325.81,325.81,1,0.02,0.4054,0.4054,593.2,0
AquaCultureRd_TON_12.03.25_LS,TON,10,1163,1163,19.4,19.4,1,0.02,0.4006,0.4006,1861.6,0
