video,site,count,count_high,count_mid,candidate_tracks,fps,seconds
AquaCultureRd_TON_12.03.25_LS,TON,1,0,1,27,60.0,565.9
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,62,2,57,178,60.0,642.5
Melvin_SHW_01.18.2026_LS,SHW,4,0,3,18,60.0,458.9
N25thRdOrange_MAS_12.22.25_LS_V2,MAS,0,0,0,6,60.0,239.0
NShelbyRd(blue)_SHB_12.11.2025_LS,SHB,27,0,27,51,60.0,334.7
NWolfCreek(orange)_SHB_12.11.2025_LS,SHB,4,0,4,12,60.0,319.4
SBassett_SHW_01.18.2026_LS,SHW,35,0,33,85,60.0,617.2
Upper40_TON_12.03.25_LS,TON,4,0,3,13,60.0,214.8
