video,site,count,count_high,count_mid,candidate_tracks,fps,seconds
ChipsRd_TON_12.03.25_LS,TON,1,0,1,8,60.0,286.3
FernRidgeRd_TON_12.03.25_LS,TON,35,0,34,122,60.0,987.8
N25thBlue_MAS_12.22.25_LS_V2,MAS,4,0,4,28,60.0,728.2
NIron_SHW_01.18.2026_LS,SHW,19,0,18,53,60.0,1055.0
NShelbyRd(green)_SHB_12.11.2025,SHB,5,0,3,12,59.9,139.1
NatureTrail_TON_12.03.25_LS,TON,5,0,5,34,60.0,563.4
SHog_SHW_01.18.2026_LS,SHW,5,0,5,40,60.0,573.4
UpperRichland_SHW_01.18.2026_LS,SHW,0,0,0,4,59.7,282.6
