video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
EMarseilles_MAS_12.22.25_LS_V2,MAS,97,9771,9771,162.95,162.95,1,0.02,0.633,0.633,1485.4,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,19,3923,3923,65.42,65.42,1,0.02,0.6233,0.6233,1226.9,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,60,7398,7398,123.37,123.37,1,0.02,0.5062,0.5062,2482.7,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,56,6587,6588,109.85,109.86,2,0.03,0.4977,0.4977,915.6,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,80,9146,9146,152.52,152.52,1,0.02,0.4846,0.4846,1227.1,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,108,10463,10463,174.49,174.49,1,0.02,0.4846,0.4846,2151.6,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,91,9510,9510,158.59,158.59,1,0.02,0.4773,0.4773,947.5,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,54,6268,6269,104.53,104.54,2,0.03,0.4431,0.4431,2065.8,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,105,10100,10105,168.43,168.52,5,0.1,0.4277,0.4277,1132.4,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,47,5727,5728,95.51,95.52,2,0.03,0.3167,0.3167,2556.7,0
GolfDr_SHB_12.11.2025,SHB,152,3370,3441,56.17,57.35,69,1.2,0.7997,0.8687,3908.1,1
GolfDr_SHB_12.11.2025,SHB,165,3502,3631,58.37,60.52,128,2.17,0.7269,0.8603,2104.5,1
GolfDr_SHB_12.11.2025,SHB,153,3382,3455,56.37,57.58,73,1.23,0.7631,0.8592,3218.3,1
GolfDr_SHB_12.11.2025,SHB,174,3634,3752,60.57,62.53,119,1.98,0.7524,0.85,1501.8,1
GolfDr_SHB_12.11.2025,SHB,169,3577,3639,59.62,60.65,58,1.05,0.7433,0.834,1609.7,1
GolfDr_SHB_12.11.2025,SHB,180,3647,3690,60.78,61.5,44,0.73,0.7753,0.8324,1540.7,1
GolfDr_SHB_12.11.2025,SHB,156,3397,3477,56.62,57.95,81,1.35,0.7453,0.8313,2161.0,1
GolfDr_SHB_12.11.2025,SHB,285,3980,4450,66.33,74.17,456,7.85,0.6868,0.8023,469.7,1
GolfDr_SHB_12.11.2025,SHB,167,3518,3616,58.63,60.27,93,1.65,0.6844,0.7897,611.1,1
GolfDr_SHB_12.11.2025,SHB,311,4521,4655,75.35,77.58,111,2.25,0.6458,0.7853,439.1,1
GolfDr_SHB_12.11.2025,SHB,284,3975,4310,66.25,71.83,334,5.6,0.6061,0.7639,521.1,1
GolfDr_SHB_12.11.2025,SHB,171,3616,3728,60.27,62.13,113,1.88,0.6616,0.7506,1254.4,1
GolfDr_SHB_12.11.2025,SHB,177,3640,3676,60.67,61.27,33,0.62,0.6328,0.7413,633.3,1
GolfDr_SHB_12.11.2025,SHB,306,4471,4489,74.52,74.82,19,0.32,0.5966,0.7354,377.3,1
GolfDr_SHB_12.11.2025,SHB,189,3680,3740,61.33,62.33,48,1.02,0.5768,0.7352,828.0,1
GolfDr_SHB_12.11.2025,SHB,331,4770,4812,79.5,80.2,43,0.72,0.6915,0.7347,498.4,1
GolfDr_SHB_12.11.2025,SHB,149,3239,3277,53.98,54.62,34,0.65,0.4239,0.6477,410.0,1
GolfDr_SHB_12.11.2025,SHB,330,4766,4812,79.43,80.2,42,0.78,0.466,0.6326,642.1,1
GolfDr_SHB_12.11.2025,SHB,431,8271,8347,137.85,139.12,51,1.28,0.4035,0.6315,454.6,1
GolfDr_SHB_12.11.2025,SHB,291,4365,4413,72.75,73.55,40,0.82,0.4181,0.6166,516.3,1
GolfDr_SHB_12.11.2025,SHB,410,6096,6119,101.6,101.98,15,0.4,0.3229,0.5009,548.9,1
GolfDr_SHB_12.11.2025,SHB,435,8337,8378,138.95,139.63,28,0.7,0.2506,0.3716,548.5,1
GolfDr_SHB_12.11.2025,SHB,338,4817,4817,80.28,80.28,1,0.02,0.7144,0.7144,573.1,0
GolfDr_SHB_12.11.2025,SHB,376,4844,4859,80.73,80.98,16,0.27,0.6527,0.7003,454.1,0
GolfDr_SHB_12.11.2025,SHB,211,3762,3762,62.7,62.7,1,0.02,0.6317,0.6317,1804.5,0
GolfDr_SHB_12.11.2025,SHB,217,3787,3787,63.12,63.12,1,0.02,0.6286,0.6286,617.3,0
GolfDr_SHB_12.11.2025,SHB,203,3756,3756,62.6,62.6,1,0.02,0.6188,0.6188,447.0,0
GolfDr_SHB_12.11.2025,SHB,339,4817,4817,80.28,80.28,1,0.02,0.6177,0.6177,695.3,0
GolfDr_SHB_12.11.2025,SHB,233,3860,3862,64.33,64.37,3,0.05,0.6132,0.6132,467.0,0
GolfDr_SHB_12.11.2025,SHB,436,8394,8405,139.9,140.08,12,0.2,0.4437,0.6007,335.9,0
GolfDr_SHB_12.11.2025,SHB,229,3853,3854,64.22,64.23,2,0.03,0.5948,0.5948,536.4,0
GolfDr_SHB_12.11.2025,SHB,308,4508,4509,75.13,75.15,2,0.03,0.5935,0.5935,638.3,0
GolfDr_SHB_12.11.2025,SHB,190,3701,3714,61.68,61.9,14,0.23,0.4263,0.5929,591.2,0
