video,site,count,count_high,count_mid,candidate_tracks,fps,seconds
EMarseilles_MAS_12.22.25_LS_V2,MAS,0,0,0,10,60.0,386.5
GolfDr_SHB_12.11.2025,SHB,22,0,21,65,60.0,312.2
N25thRdOrange_MAS_12.22.25_LS_V1,MAS,1,0,1,4,60.0,227.7
NMarseilles_MAS_12.22.25_LS_V2,MAS,3,0,3,6,60.0,264.3
NWolfCreek(blue)_SHB_12.11.2025,SHB,54,0,44,205,60.0,2016.3
Robinson_SHW_01.18.2026_LS,SHW,6,0,6,29,60.0,537.1
TouchofNatureRd_TON_12.03.25_LS,TON,2,0,1,33,60.0,306.5
WolfCreekRd_SHB_12.11.2025_LS,SHB,5,0,5,19,59.9,275.6
