video,site,track_id,frame,t_s,xc,yc,w,h,conf,confirmed
EMarseilles_MAS_12.22.25_LS_V2,MAS,105,10100,168.43,564.0,11.2,35.6,21.9,0.4925,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,105,10101,168.45,560.4,11.6,34.3,22.5,0.3693,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,105,10102,168.47,554.5,15.3,39.3,28.1,0.368,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,105,10103,168.48,548.0,16.4,40.4,32.9,0.5659,0
EMarseilles_MAS_12.22.25_LS_V2,MAS,105,10105,168.52,534.4,22.7,41.6,40.3,0.3428,0
GolfDr_SHB_12.11.2025,SHB,130,531,8.85,353.6,221.5,26.4,22.1,0.3255,0
GolfDr_SHB_12.11.2025,SHB,130,532,8.87,355.3,220.8,27.2,22.6,0.1207,0
GolfDr_SHB_12.11.2025,SHB,130,533,8.88,353.1,219.2,27.2,22.6,0.1382,0
GolfDr_SHB_12.11.2025,SHB,130,534,8.9,352.7,219.3,28.1,23.1,0.1187,0
GolfDr_SHB_12.11.2025,SHB,132,535,8.92,294.8,221.4,26.8,20.7,0.5967,0
GolfDr_SHB_12.11.2025,SHB,132,536,8.93,295.0,221.6,26.7,20.3,0.5021,0
GolfDr_SHB_12.11.2025,SHB,132,537,8.95,291.9,220.1,27.0,20.6,0.4453,0
GolfDr_SHB_12.11.2025,SHB,135,675,11.25,48.8,239.3,25.9,19.9,0.7242,0
GolfDr_SHB_12.11.2025,SHB,135,678,11.3,44.1,241.3,25.0,18.9,0.7085,0
GolfDr_SHB_12.11.2025,SHB,135,679,11.32,42.5,241.9,24.4,18.9,0.1359,0
GolfDr_SHB_12.11.2025,SHB,139,776,12.93,10.9,258.5,21.9,20.6,0.4399,0
GolfDr_SHB_12.11.2025,SHB,139,777,12.95,11.9,259.0,23.7,20.7,0.4495,0
GolfDr_SHB_12.11.2025,SHB,139,778,12.97,11.3,259.1,22.5,21.3,0.2031,0
GolfDr_SHB_12.11.2025,SHB,139,779,12.98,11.3,259.2,22.5,21.6,0.1771,0
GolfDr_SHB_12.11.2025,SHB,144,3215,53.58,627.5,285.7,21.9,19.3,0.6928,0
GolfDr_SHB_12.11.2025,SHB,144,3216,53.6,622.9,286.1,21.9,18.9,0.5353,0
GolfDr_SHB_12.11.2025,SHB,144,3217,53.62,617.4,285.4,21.8,19.0,0.5453,0
GolfDr_SHB_12.11.2025,SHB,144,3219,53.65,608.7,284.2,23.3,22.1,0.2636,0
GolfDr_SHB_12.11.2025,SHB,144,3220,53.67,604.8,283.4,24.4,22.6,0.2367,0
GolfDr_SHB_12.11.2025,SHB,147,3226,53.77,570.4,286.7,19.8,19.0,0.5695,0
GolfDr_SHB_12.11.2025,SHB,147,3227,53.78,566.0,286.4,20.5,18.7,0.4494,0
GolfDr_SHB_12.11.2025,SHB,147,3228,53.8,559.9,285.1,21.0,21.8,0.458,0
GolfDr_SHB_12.11.2025,SHB,147,3229,53.82,555.8,285.2,18.9,23.0,0.1712,0
GolfDr_SHB_12.11.2025,SHB,147,3230,53.83,550.7,284.3,21.0,25.3,0.3957,0
GolfDr_SHB_12.11.2025,SHB,147,3231,53.85,546.0,284.3,23.6,25.6,0.2668,0
GolfDr_SHB_12.11.2025,SHB,149,3239,53.98,501.5,288.7,20.4,20.0,0.6031,1
GolfDr_SHB_12.11.2025,SHB,149,3240,54.0,495.4,288.8,19.3,18.9,0.6167,1
GolfDr_SHB_12.11.2025,SHB,149,3241,54.02,489.6,288.2,18.8,18.5,0.347,1
GolfDr_SHB_12.11.2025,SHB,149,3242,54.03,484.1,288.5,20.5,19.6,0.656,1
GolfDr_SHB_12.11.2025,SHB,149,3243,54.05,478.0,287.8,20.2,18.8,0.6092,1
GolfDr_SHB_12.11.2025,SHB,149,3244,54.07,472.4,287.6,20.0,19.4,0.5427,1
GolfDr_SHB_12.11.2025,SHB,149,3245,54.08,467.7,287.7,20.1,21.4,0.1371,1
GolfDr_SHB_12.11.2025,SHB,149,3247,54.12,456.6,289.0,19.5,20.7,0.4726,1
GolfDr_SHB_12.11.2025,SHB,149,3248,54.13,451.9,289.1,19.3,20.8,0.3414,1
GolfDr_SHB_12.11.2025,SHB,149,3249,54.15,446.4,289.0,18.6,21.0,0.3975,1
GolfDr_SHB_12.11.2025,SHB,149,3250,54.17,441.8,289.5,18.7,21.0,0.391,1
GolfDr_SHB_12.11.2025,SHB,149,3252,54.2,432.3,290.5,20.3,21.5,0.2793,1
GolfDr_SHB_12.11.2025,SHB,149,3253,54.22,428.9,290.4,23.5,22.5,0.286,1
GolfDr_SHB_12.11.2025,SHB,149,3254,54.23,419.8,289.3,22.0,20.2,0.1606,1
GolfDr_SHB_12.11.2025,SHB,149,3255,54.25,415.8,290.1,23.6,23.4,0.1216,1
GolfDr_SHB_12.11.2025,SHB,149,3256,54.27,408.3,289.1,23.2,21.6,0.513,1
GolfDr_SHB_12.11.2025,SHB,149,3257,54.28,402.5,289.5,22.1,20.4,0.5396,1
GolfDr_SHB_12.11.2025,SHB,149,3258,54.3,396.7,290.2,21.5,19.3,0.6372,1
GolfDr_SHB_12.11.2025,SHB,149,3260,54.33,389.3,289.5,27.4,20.0,0.4631,1
GolfDr_SHB_12.11.2025,SHB,149,3261,54.35,382.0,289.1,24.0,18.8,0.3494,1
GolfDr_SHB_12.11.2025,SHB,149,3262,54.37,375.0,289.1,21.2,17.3,0.1421,1
GolfDr_SHB_12.11.2025,SHB,149,3263,54.38,369.4,288.8,20.3,18.0,0.3606,1
GolfDr_SHB_12.11.2025,SHB,149,3264,54.4,363.2,288.2,20.5,18.2,0.4096,1
GolfDr_SHB_12.11.2025,SHB,149,3265,54.42,357.6,288.1,20.4,19.0,0.5018,1
GolfDr_SHB_12.11.2025,SHB,149,3266,54.43,352.1,287.4,21.3,19.0,0.4348,1
