video,site,track_id,frame,t_s,xc,yc,w,h,conf,confirmed
AquaCultureRd_TON_12.03.25_LS,TON,18,2979,49.69,548.6,426.4,27.1,22.4,0.4905,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2980,49.71,537.9,422.6,27.2,25.0,0.479,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2981,49.72,528.7,419.2,26.4,22.9,0.7095,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2984,49.77,501.9,416.8,28.1,23.3,0.5671,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2985,49.79,492.7,420.4,29.8,23.6,0.6755,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2986,49.81,482.7,414.6,33.3,25.0,0.4778,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2992,49.91,427.1,407.1,43.6,26.0,0.391,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2993,49.92,418.8,407.4,44.4,26.2,0.5057,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2994,49.94,408.3,406.7,41.0,26.2,0.5783,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2995,49.96,398.6,404.1,41.1,26.5,0.3305,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2996,49.97,388.8,402.8,43.3,25.9,0.2339,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2997,49.99,380.6,403.7,45.5,24.9,0.5369,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2998,50.01,369.7,401.7,44.2,24.3,0.5772,1
AquaCultureRd_TON_12.03.25_LS,TON,18,2999,50.02,359.4,400.2,42.1,24.8,0.7057,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3000,50.04,350.1,399.7,39.7,22.7,0.7099,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3001,50.06,338.7,398.1,34.9,24.2,0.4442,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3002,50.07,329.3,397.0,36.2,25.0,0.3901,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3003,50.09,320.2,398.6,38.9,23.8,0.5728,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3004,50.11,311.1,397.3,37.4,24.7,0.624,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3005,50.12,304.3,395.2,40.9,24.0,0.6027,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3006,50.14,295.2,396.8,38.1,22.5,0.6377,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3007,50.16,285.8,394.4,36.3,24.2,0.1528,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3010,50.21,256.2,392.5,31.3,25.3,0.3126,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3011,50.22,248.2,391.5,35.2,26.2,0.5244,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3012,50.24,237.9,393.8,34.8,25.6,0.4836,1
AquaCultureRd_TON_12.03.25_LS,TON,18,3015,50.29,207.2,391.5,30.0,21.0,0.3519,1
