video,site,track_id,first_frame,last_frame,first_s,last_s,n_frames,span_s,mean_conf,topk_conf,mean_box_px,confirmed
AquaCultureRd_TON_12.03.25_LS,TON,1354,17413,17416,290.45,290.5,2,0.07,0.2277,0.2277,949.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1230,2398,2398,40.0,40.0,1,0.02,0.2242,0.2242,348.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1344,15420,15420,257.21,257.21,1,0.02,0.223,0.223,760.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1274,6424,6426,107.15,107.19,2,0.05,0.2213,0.2213,1751.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1347,15782,15805,263.24,263.63,10,0.4,0.1632,0.2153,442.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1225,1087,1117,18.13,18.63,4,0.52,0.2141,0.2141,1537.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1301,8643,8688,144.17,144.92,6,0.77,0.1938,0.2123,868.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1224,1074,1114,17.91,18.58,7,0.68,0.1798,0.2093,982.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1341,15199,15207,253.52,253.65,4,0.15,0.2091,0.2091,207.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1254,4523,4523,75.44,75.44,1,0.02,0.2085,0.2085,1008.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1233,2781,2782,46.39,46.4,2,0.03,0.2078,0.2078,264.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1295,8071,8072,134.62,134.64,2,0.03,0.2072,0.2072,821.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1316,9766,9766,162.9,162.9,1,0.02,0.2026,0.2026,756.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1318,9792,9792,163.33,163.33,1,0.02,0.1992,0.1992,339.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1228,1175,1176,19.6,19.62,2,0.03,0.1962,0.1962,2223.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1222,1066,1075,17.78,17.93,5,0.17,0.1947,0.1947,867.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1275,6426,6426,107.19,107.19,1,0.02,0.1909,0.1909,2023.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1327,12564,12565,209.57,209.58,2,0.03,0.1909,0.1909,212.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1304,8759,8759,146.1,146.1,1,0.02,0.1908,0.1908,435.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1255,4861,4861,81.08,81.08,1,0.02,0.1889,0.1889,1179.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1279,6576,6593,109.69,109.97,3,0.3,0.1861,0.1861,1141.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1235,2815,2819,46.95,47.02,3,0.08,0.1839,0.1839,426.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1335,15081,15130,251.55,252.37,21,0.83,0.1366,0.1822,240.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1294,8028,8060,133.91,134.44,3,0.55,0.1792,0.1792,655.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1281,6600,6600,110.09,110.09,1,0.02,0.1781,0.1781,559.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1298,8615,8641,143.7,144.13,2,0.45,0.1749,0.1749,603.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1286,6700,6701,111.76,111.77,2,0.03,0.174,0.174,1012.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1340,15196,15196,253.47,253.47,1,0.02,0.1737,0.1737,340.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1288,7229,7229,120.58,120.58,1,0.02,0.1733,0.1733,734.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1320,10585,10585,176.56,176.56,1,0.02,0.1724,0.1724,380.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1258,5065,5065,84.48,84.48,1,0.02,0.1719,0.1719,456.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1271,6085,6085,101.5,101.5,1,0.02,0.1684,0.1684,1549.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1290,7720,7720,128.77,128.77,1,0.02,0.166,0.166,3500.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1238,2844,2844,47.44,47.44,1,0.02,0.1658,0.1658,402.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1259,5097,5097,85.02,85.02,1,0.02,0.1654,0.1654,984.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1287,7108,7108,118.56,118.56,1,0.02,0.1635,0.1635,922.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1237,2844,2847,47.44,47.49,2,0.07,0.1629,0.1629,389.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1268,5921,5921,98.76,98.76,1,0.02,0.1626,0.1626,1170.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1289,7505,7505,125.18,125.18,1,0.02,0.1623,0.1623,583.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1319,10394,10394,173.37,173.37,1,0.02,0.1602,0.1602,342.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1334,14788,14792,246.66,246.73,5,0.08,0.1579,0.1579,428.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1350,16192,16195,270.08,270.13,2,0.07,0.1577,0.1577,1064.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1227,1166,1166,19.45,19.45,1,0.02,0.1575,0.1575,2202.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1261,5302,5302,88.44,88.44,1,0.02,0.1567,0.1567,601.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1353,17129,17129,285.71,285.71,1,0.02,0.1563,0.1563,283.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1251,4153,4153,69.27,69.27,1,0.02,0.1556,0.1556,651.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1339,15147,15164,252.65,252.94,5,0.3,0.1536,0.1536,255.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1262,5314,5317,88.64,88.69,2,0.07,0.1517,0.1517,582.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1359,18924,18932,315.65,315.79,7,0.15,0.1386,0.1513,365.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1303,8663,8669,144.5,144.6,2,0.12,0.1509,0.1509,862.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1273,6149,6186,102.57,103.18,4,0.63,0.1502,0.1502,867.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1311,9384,9384,156.53,156.53,1,0.02,0.1501,0.1501,506.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1313,9454,9487,157.69,158.24,5,0.57,0.1494,0.1494,442.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1323,10990,10992,183.31,183.35,3,0.05,0.1493,0.1493,347.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1246,3121,3121,52.06,52.06,1,0.02,0.149,0.149,209.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1302,8663,8663,144.5,144.5,1,0.02,0.1489,0.1489,980.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1291,7770,7792,129.6,129.97,4,0.38,0.1486,0.1486,313.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1312,9417,9428,157.08,157.26,3,0.2,0.1485,0.1485,720.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1348,15872,15876,264.75,264.81,2,0.08,0.1484,0.1484,2940.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1328,12564,12567,209.57,209.62,4,0.07,0.146,0.146,223.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1249,3756,3757,62.65,62.67,2,0.03,0.1449,0.1449,478.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1245,3082,3082,51.41,51.41,1,0.02,0.1447,0.1447,2334.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1276,6502,6502,108.45,108.45,1,0.02,0.1436,0.1436,1153.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1349,15881,15889,264.9,265.03,4,0.15,0.1436,0.1436,4385.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1239,2856,2856,47.64,47.64,1,0.02,0.1412,0.1412,278.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1266,5768,5773,96.21,96.29,3,0.1,0.1408,0.1408,551.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1310,9311,9311,155.31,155.31,1,0.02,0.1392,0.1392,828.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1283,6613,6622,110.31,110.46,5,0.17,0.1383,0.1383,562.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1248,3462,3462,57.75,57.75,1,0.02,0.1358,0.1358,580.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1269,5998,5998,100.05,100.05,1,0.02,0.1348,0.1348,612.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1329,13483,13485,224.9,224.93,2,0.05,0.1336,0.1336,444.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1229,1373,1390,22.9,23.19,3,0.3,0.1335,0.1335,376.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1326,12235,12237,204.08,204.11,2,0.05,0.1335,0.1335,237.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1260,5126,5152,85.5,85.94,2,0.45,0.1334,0.1334,664.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1356,18760,18763,312.92,312.97,2,0.07,0.1327,0.1327,610.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1330,13488,13488,224.98,224.98,1,0.02,0.1325,0.1325,401.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1314,9454,9454,157.69,157.69,1,0.02,0.1314,0.1314,502.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1325,12113,12114,202.05,202.06,2,0.03,0.1309,0.1309,281.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1299,8632,8632,143.98,143.98,1,0.02,0.1308,0.1308,327.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1308,9259,9263,154.44,154.51,3,0.08,0.1307,0.1307,474.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1277,6570,6571,109.59,109.6,2,0.03,0.1294,0.1294,671.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1361,19599,19599,326.91,326.91,1,0.02,0.1268,0.1268,226.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1306,8965,8965,149.54,149.54,1,0.02,0.1241,0.1241,558.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1292,7792,7792,129.97,129.97,1,0.02,0.1239,0.1239,314.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1231,2433,2433,40.58,40.58,1,0.02,0.1229,0.1229,358.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1256,4973,4973,82.95,82.95,1,0.02,0.1214,0.1214,925.1,0
AquaCultureRd_TON_12.03.25_LS,TON,1336,15090,15132,251.7,252.4,7,0.72,0.1171,0.1214,226.8,0
AquaCultureRd_TON_12.03.25_LS,TON,1272,6105,6105,101.83,101.83,1,0.02,0.1209,0.1209,976.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1345,15663,15663,261.26,261.26,1,0.02,0.1203,0.1203,974.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1355,17430,17430,290.73,290.73,1,0.02,0.1191,0.1191,381.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1264,5413,5413,90.29,90.29,1,0.02,0.1179,0.1179,1197.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1284,6630,6630,110.59,110.59,1,0.02,0.1171,0.1171,551.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1309,9296,9302,155.06,155.16,2,0.12,0.1152,0.1152,447.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1243,3016,3016,50.31,50.31,1,0.02,0.1149,0.1149,333.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1337,15108,15129,252.0,252.35,5,0.37,0.1144,0.1144,229.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1352,17044,17044,284.29,284.29,1,0.02,0.1144,0.1144,690.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1357,18776,18776,313.18,313.18,1,0.02,0.1144,0.1144,968.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1360,18924,18932,315.65,315.79,2,0.15,0.1138,0.1138,356.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1338,15108,15114,252.0,252.1,3,0.12,0.1114,0.1114,216.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1317,9779,9779,163.11,163.11,1,0.02,0.111,0.111,174.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1332,14252,14252,237.72,237.72,1,0.02,0.11,0.11,182.0,0
AquaCultureRd_TON_12.03.25_LS,TON,1221,1023,1023,17.06,17.06,1,0.02,0.1083,0.1083,604.6,0
AquaCultureRd_TON_12.03.25_LS,TON,1226,1106,1106,18.45,18.45,1,0.02,0.1079,0.1079,1890.9,0
AquaCultureRd_TON_12.03.25_LS,TON,1236,2835,2838,47.29,47.34,2,0.07,0.1077,0.1077,394.4,0
AquaCultureRd_TON_12.03.25_LS,TON,1333,14732,14732,245.73,245.73,1,0.02,0.1066,0.1066,5587.2,0
AquaCultureRd_TON_12.03.25_LS,TON,1324,11586,11586,193.25,193.25,1,0.02,0.1063,0.1063,1552.5,0
AquaCultureRd_TON_12.03.25_LS,TON,1342,15285,15311,254.95,255.39,2,0.45,0.1042,0.1042,682.3,0
AquaCultureRd_TON_12.03.25_LS,TON,1250,3839,3839,64.03,64.03,1,0.02,0.1034,0.1034,665.7,0
AquaCultureRd_TON_12.03.25_LS,TON,1220,967,967,16.13,16.13,1,0.02,0.1029,0.1029,1315.3,0
